director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
John Suits , Rachel Nichols,Alfie Allen,Mekhi Phifer,Action Science Fiction Thriller Horror,pandemic, Rachel Nichols Alfie Allen Mekhi Phifer John Suits  Action Science Fiction Thriller Horror
Ben Falcone , Melissa McCarthy,Kristen Bell,unknown,Animation Family Comedy Adventure Fantasy,the boss, Melissa McCarthy Kristen Bell unknown Ben Falcone  Animation Family Comedy Adventure Fantasy
Ilya Naishuller , Sharlto Copley,Danila Kozlovsky,Haley Bennett,Action Adventure Science Fiction,hardcore henry, Sharlto Copley Danila Kozlovsky Haley Bennett Ilya Naishuller  Action Adventure Science Fiction
Jean-Marc Vallée , Jake Gyllenhaal,Naomi Watts,Chris Cooper,Comedy Drama,demolition, Jake Gyllenhaal Naomi Watts Chris Cooper Jean-Marc Vallée  Comedy Drama
Karyn Kusama , Logan Marshall-Green,Tammy Blanchard,Michiel Huisman,Thriller,the invitation, Logan Marshall-Green Tammy Blanchard Michiel Huisman Karyn Kusama  Thriller
Mike Flanagan , John Gallagher Jr.,Michael Trucco,Kate Siegel,Crime Animation Mystery Action,hush, John Gallagher Jr. Michael Trucco Kate Siegel Mike Flanagan  Crime Animation Mystery Action
Jon Favreau , Bill Murray,Ben Kingsley,Idris Elba,Family Animation Adventure,the jungle book, Bill Murray Ben Kingsley Idris Elba Jon Favreau  Family Animation Adventure
Malcolm D. Lee , Ice Cube,Cedric the Entertainer,Regina Hall,Comedy Drama,barbershop: the next cut, Ice Cube Cedric the Entertainer Regina Hall Malcolm D. Lee  Comedy Drama
Ariel Vromen , Kevin Costner,Gary Oldman,unknown,Thriller Crime Drama,criminal, Kevin Costner Gary Oldman unknown Ariel Vromen  Thriller Crime Drama
Jeremy Saulnier , Anton Yelchin,Imogen Poots,Alia Shawkat,Horror Crime Thriller,green room, Anton Yelchin Imogen Poots Alia Shawkat Jeremy Saulnier  Horror Crime Thriller
Cedric Nicolas-Troyan , Chris Hemsworth,Charlize Theron,Emily Blunt,Action Adventure Drama,the huntsman: winter's war, Chris Hemsworth Charlize Theron Emily Blunt Cedric Nicolas-Troyan  Action Adventure Drama
Tom Tykwer , Tom Hanks,Ben Whishaw,unknown,Comedy Drama,a hologram for the king, Tom Hanks Ben Whishaw unknown Tom Tykwer  Comedy Drama
Liza Johnson , Kevin Spacey,Michael Shannon,Alex Pettyfer,Drama Comedy History,elvis & nixon, Kevin Spacey Michael Shannon Alex Pettyfer Liza Johnson  Drama Comedy History
Peter Atencio , Jordan Peele,Keegan-Michael Key,Tiffany Haddish,Action Comedy,keanu, Jordan Peele Keegan-Michael Key Tiffany Haddish Peter Atencio  Action Comedy
Garry Marshall , Jennifer Aniston,Julia Roberts,unknown,Comedy Drama Romance,mother's day, Jennifer Aniston Julia Roberts unknown Garry Marshall  Comedy Drama Romance
Kevin Munroe , Paul Giamatti,John Goodman,Bella Thorne,Action Adventure Animation Family,ratchet & clank, Paul Giamatti John Goodman Bella Thorne Kevin Munroe  Action Adventure Animation Family
